Configuration of the final model: hhd_cnn_model_without_augmentation



Letter     Accuracy

0     1.0

1     0.8421052631578947

2     0.8947368421052632

3     0.7368421052631579

4     0.7894736842105263

5     0.7894736842105263

6     0.9473684210526315

7     0.9473684210526315

8     1.0

9     0.5789473684210527

10     0.9473684210526315

11     0.7333333333333333

12     0.7894736842105263

13     1.0

14     0.9411764705882353

15     0.7894736842105263

16     0.7647058823529411

17     0.8947368421052632

18     0.8333333333333334

19     0.9473684210526315

20     0.7647058823529411

21     0.8421052631578947

22     0.6470588235294118

23     0.7894736842105263

24     0.9047619047619048

25     0.9473684210526315

26     0.7894736842105263

_______________________________________

avg     0.8463790194440349

